village,District,Eastings,Nothings,Latitude,Longitude,ecoli,pH,Electrical Conductivity,turbidity,Color (Apparent),Total dissolved salts,Total Alkalinity ,Bicarbonates,Total hardness ,Calcium Hardardness ,magnesium hardness,Flouride,Chloride,sulphate,Nitrites ,Nitrates-N ,Ammonium-N ,Phosphates-P 
Kawuku,Buikwe,496576,39968,86.32887623,22.60702206,1,6.1,90,1.7,0.2432,63,41,50.02,37.4,22.2,15.2,0.16,2.9,1.3,0.001,1.09,0.03,0.02
Kibuba,Buikwe,494884,40689,86.22777251,23.08753999,1,6.2,93,2.1,5,65.1,37,45.14,46.6,20.6,26,0.13,4,1.4,0.001,0.94,0.02,0.01
Bulagala B,Kamuli,510054,123659,52.16599717,#NUM!,8,6.4,552,2.1,0.2432,386.4,190,231.8,156.4,98.8,57.6,0.55,20,61,0.01,3.65,0.07,0.19
Busuna,Kamuli,510908,113543,58.95220529,#NUM!,78,5.7,230,2.8,13,161,37,45.14,40.4,23,17.4,0.21,14,26,0.01,4.37,0.12,0.01
Namuyingi,Kamuli,511123,111497,60.20041007,#NUM!,1,6.4,530,1.9,0.2432,371,110,134.2,166.8,93.6,73.2,0.5,72,9.4,0.01,3.1,0.02,0.09
Bulindi,Kamuli,512469,104708,64.1252557,#NUM!,1,5.1,129,2.4,0.2432,90.3,14,17.08,26.2,13.4,12.8,0.23,0.9,18,0.001,6.1,0.05,0.01
Namaganda Butooli,Kamuli,522216,95705,69.52481674,#NUM!,1,5.4,184,1.8,0.2432,128.8,21,25.62,29.4,20.6,8.8,0.17,13,22,0.001,3.52,0.02,0.05
Naminage,Kamuli,520263,95734,69.30467855,#NUM!,1,6.2,621,2.1,1,434.7,150,183,238,82,156,0.4,48,39,0.1,29,0.05,0.11
Kitayundwa,Kamuli,517950,98688,67.65496579,#NUM!,1,6.6,576,1.8,0.2432,403.2,240,292.8,254.8,188,66.8,0.34,7.2,44,0.001,8.72,0.08,0.12
Kitayundwa,Kamuli,517895,99191,67.40078783,#NUM!,10,6.5,571,2.5,4,399.7,175,213.5,210.2,128.6,81.6,0.24,27,26,0.01,13,0.01,0.01
